Link,Category,Floors,Area,Room_Count,Document,Repair,Price,Price_per_sqm,Date,Address,Flat_Floor,Total_Floors,Region,calculated_price_per_m2,Difference
https://bina.az/items/5134699,New building,6 / 17,92.0,2,Yes,Yes,225000,2450,2025-05-19,8-ci mikrorayon q.,6,17,Binəqədi,2446,4
https://bina.az/items/5178536,New building,2 / 16,146.0,3,Yes,Yes,310000,2120,2025-05-19,Azadlıq Prospekti m.,2,16,Binəqədi,2123,-3
https://bina.az/items/5079141,New building,6 / 15,86.0,3,Yes,Yes,245000,2850,2025-05-19,Neftçilər m.,6,15,Nizami,2849,1
https://bina.az/items/4352129,New building,17 / 20,299.0,4,No,No,1377300,4600,2025-05-19,Ağ şəhər q.,17,20,Xətai,4606,-6
https://bina.az/items/4960469,New building,6 / 17,142.0,3,Yes,Yes,489000,3440,2025-05-19,Nəriman Nərimanov m.,6,17,Nərimanov,3444,-4
https://bina.az/items/4701438,New building,12 / 16,88.0,3,Yes,Yes,350000,3980,2025-05-19,Nizami m.,12,16,Yasamal,3977,3
https://bina.az/items/4269282,Old building,5 / 5,83.0,3,Yes,Yes,150000,1810,2025-05-19,İnşaatçılar m.,5,5,Yasamal,1807,3
https://bina.az/items/4578920,New building,7 / 15,277.0,5,Yes,No,860000,3100,2025-05-19,İçəri Şəhər m.,7,15,Səbail,3105,-5
https://bina.az/items/4451841,New building,8 / 8,79.0,2,No,No,319200,3990,2025-05-19,Nardaran q.,8,8,Sabunçu,4041,-51
https://bina.az/items/5182800,New building,13 / 14,150.0,3,No,Yes,465000,3100,2025-05-19,28 May m.,13,14,Binəqədi,3100,0
https://bina.az/items/4352116,New building,16 / 20,264.0,4,No,No,1250000,4730,2025-05-19,Ağ şəhər q.,16,20,Xətai,4735,-5
https://bina.az/items/4240333,New building,3 / 8,118.0,3,No,No,478600,4060,2025-05-19,Ağ şəhər q.,3,8,Xətai,4056,4
https://bina.az/items/5215077,Old building,3 / 9,70.0,2,Yes,Yes,145000,2070,2025-05-19,Xalqlar Dostluğu m.,3,9,Nizami,2071,-1
https://bina.az/items/4129738,New building,3 / 8,118.0,3,No,No,476000,4030,2025-05-19,Şah İsmayıl Xətai m.,3,8,Xətai,4034,-4
https://bina.az/items/5202498,Old building,5 / 9,90.0,3,Yes,Yes,238000,2640,2025-05-19,Gənclik m.,5,9,Nərimanov,2644,-4
https://bina.az/items/5204206,Old building,8 / 9,60.0,2,Yes,Yes,136000,2270,2025-05-19,Həzi Aslanov q.,8,9,Xətai,2267,3
https://bina.az/items/5182541,New building,7 / 17,162.0,4,Yes,Yes,490000,3020,2025-05-19,Nəsimi r.,7,17,Nəsimi,3025,-5
https://bina.az/items/5043727,New building,5 / 14,131.0,4,No,No,355000,2710,2025-05-19,28 May m.,5,14,Binəqədi,2710,0
https://bina.az/items/4351966,New building,8 / 20,161.0,4,No,No,770000,4780,2025-05-19,Ağ şəhər q.,8,20,Xətai,4783,-3
https://bina.az/items/5193523,Old building,2 / 9,85.0,3,Yes,No,215000,2530,2025-05-19,Nəriman Nərimanov m.,2,9,Nərimanov,2529,1
https://bina.az/items/5206887,Old building,7 / 9,60.0,2,Yes,Yes,155000,2580,2025-05-19,Xalqlar Dostluğu m.,7,9,Nizami,2583,-3
https://bina.az/items/5136869,New building,6 / 16,72.0,2,Yes,Yes,195000,2710,2025-05-19,20 Yanvar m.,6,16,Yasamal,2708,2
https://bina.az/items/4352143,New building,9 / 20,135.0,3,No,No,621000,4600,2025-05-19,Ağ şəhər q.,9,20,Xətai,4600,0
https://bina.az/items/5191882,New building,5 / 17,70.0,2,Yes,Yes,224000,3170,2025-05-19,Nəsimi r.,5,17,Nəsimi,3200,-30
https://bina.az/items/5202998,Old building,2 / 9,80.0,3,Yes,Yes,185000,2310,2025-05-19,Əhmədli q.,2,9,Xətai,2312,-2
https://bina.az/items/4352079,New building,10 / 20,135.0,3,No,No,621000,4600,2025-05-19,Ağ şəhər q.,10,20,Xətai,4600,0
https://bina.az/items/4351913,New building,6 / 7,117.0,3,No,No,471200,4030,2025-05-19,Ağ şəhər q.,6,7,Xətai,4027,3
https://bina.az/items/5215605,Old building,3 / 5,50.0,2,Yes,Yes,136000,2720,2025-05-19,Nəsimi m.,3,5,Nəsimi,2720,0
https://bina.az/items/5199514,New building,6 / 16,135.0,3,No,Yes,220000,1630,2025-05-19,Memar Əcəmi m.,6,16,Nəsimi,1630,0
https://bina.az/items/5186883,New building,11 / 18,200.0,4,Yes,Yes,520000,2600,2025-05-19,Nəsimi r.,11,18,Nəsimi,2600,0
https://bina.az/items/5108261,New building,5 / 16,108.0,2,No,No,254270,2350,2025-05-19,Koroğlu m.,5,16,Nizami,2354,-4
https://bina.az/items/5158026,New building,14 / 14,45.0,1,No,No,119515,2650,2025-05-19,Azadlıq Prospekti m.,14,14,Binəqədi,2656,-6
https://bina.az/items/5215610,Old building,4 / 5,65.0,3,Yes,Yes,171000,2630,2025-05-19,Memar Əcəmi m.,4,5,Nəsimi,2631,-1
https://bina.az/items/4668047,New building,3 / 17,86.0,2,Yes,No,283000,3290,2025-05-19,Elmlər Akademiyası m.,3,17,Yasamal,3291,-1
https://bina.az/items/5199262,New building,10 / 20,84.0,2,Yes,Yes,235000,2800,2025-05-19,20 Yanvar m.,10,20,Yasamal,2798,2
https://bina.az/items/5132583,Old building,4 / 5,85.0,3,Yes,Yes,181000,2130,2025-05-19,İnşaatçılar m.,4,5,Yasamal,2129,1
https://bina.az/items/5150048,Old building,8 / 9,85.0,3,Yes,Yes,228000,2680,2025-05-19,8-ci mikrorayon q.,8,9,Binəqədi,2682,-2
https://bina.az/items/4973552,New building,13 / 17,117.0,2,Yes,Yes,372000,3180,2025-05-19,Nərimanov r.,13,17,Nərimanov,3179,1
https://bina.az/items/5215608,Old building,3 / 5,50.0,3,Yes,Yes,145000,2900,2025-05-19,İnşaatçılar m.,3,5,Yasamal,2900,0
https://bina.az/items/5213192,New building,5 / 17,131.0,3,Yes,Yes,262000,2000,2025-05-19,Memar Əcəmi m.,5,17,Nəsimi,2000,0
https://bina.az/items/5027238,New building,8 / 16,58.0,2,No,No,158000,2700,2025-05-19,Nəriman Nərimanov m.,8,16,Nərimanov,2724,-24
https://bina.az/items/5156405,Old building,4 / 9,85.0,3,Yes,Yes,184000,2160,2025-05-19,Əhmədli m.,4,9,Xətai,2165,-5
https://bina.az/items/5181441,Old building,1 / 5,41.0,2,Yes,Yes,127000,3100,2025-05-19,Memar Əcəmi m.,1,5,Nəsimi,3098,2
https://bina.az/items/5208127,Old building,2 / 9,57.0,2,Yes,Yes,185000,3250,2025-05-19,Gənclik m.,2,9,Nərimanov,3246,4
https://bina.az/items/5210828,New building,16 / 19,80.0,3,Yes,Yes,192000,2400,2025-05-19,Həzi Aslanov m.,16,19,Xətai,2400,0
https://bina.az/items/4950760,New building,12 / 20,102.0,3,No,Yes,170000,1660,2025-05-19,Yeni Yasamal q.,12,20,Yasamal,1667,-7
https://bina.az/items/5100000,New building,15 / 18,70.0,2,Yes,Yes,155995,2230,2025-05-19,8-ci kilometr q.,15,18,Nizami,2228,2
https://bina.az/items/4126392,New building,15 / 19,216.0,5,No,Yes,750000,3470,2025-05-19,Nərimanov r.,15,19,Nərimanov,3472,-2
https://bina.az/items/5160628,New building,17 / 18,60.0,2,Yes,Yes,110000,1830,2025-05-19,8-ci mikrorayon q.,17,18,Binəqədi,1833,-3
https://bina.az/items/3891147,New building,15 / 19,217.0,4,No,No,625000,2880,2025-05-19,Nərimanov r.,15,19,Nərimanov,2880,0
